"","Tissue","eRNA_ID","Age_Rs","Age_FDR","BMI_Rs","BMI_FDR","Height_Rs","Height_FDR","Weight_Rs","Weight_FDR","Gender_Fold","Gender_FDR","Race_F","Race_FDR"
"Adipose_sub ENSR00000115516","Adipose_sub","ENSR00000115516","0.3084","0","","","","","","","","","",""
"Adipose_sub ENSR00000115517","Adipose_sub","ENSR00000115517","0.3189","0","","","","","","","","","",""
"Adipose_sub ENSR00000132714","Adipose_sub","ENSR00000132714","0.3058","0","","","","","","","","","",""
"Adipose_sub ENSR00000222504","Adipose_sub","ENSR00000222504","0.3026","0","","","","","","","","","",""
"Adipose_sub ENSR00000235934","Adipose_sub","ENSR00000235934","0.3002","0","","","","","","","","","",""
"Adipose_sub ENSR00000273528","Adipose_sub","ENSR00000273528","0.3204","0","","","","","","","","","",""
"Adipose_sub ENSR00000290515","Adipose_sub","ENSR00000290515","0.3554","0","","","","","","","","","",""
"Adipose_sub ENSR00000292873","Adipose_sub","ENSR00000292873","0.306","0","","","","","","","","","",""
"Adipose_sub 19:16331596-16337596","Adipose_sub","19:16331596-16337596","0.3009","0","","","","","","","","","",""
"Adipose_sub 2:38085593-38091593","Adipose_sub","2:38085593-38091593","0.3508","0","","","","","","","","","",""
"Adipose_sub 2:38086625-38092625","Adipose_sub","2:38086625-38092625","0.3652","0","","","","","","","","","",""
"Adipose_vis ENSR00000001120","Adipose_vis","ENSR00000001120","-0.3152","0","","","","","","","","","",""
"Adipose_vis ENSR00000004307","Adipose_vis","ENSR00000004307","0.3001","0","","","","","","","","","",""
"Adipose_vis ENSR00000006211","Adipose_vis","ENSR00000006211","0.375","0","","","","","","","","","",""
"Adipose_vis ENSR00000007880","Adipose_vis","ENSR00000007880","-0.3166","0","","","","","","","","","",""
"Adipose_vis ENSR00000008884","Adipose_vis","ENSR00000008884","0.3111","0","","","","","","","","","",""
"Adipose_vis ENSR00000011593","Adipose_vis","ENSR00000011593","0.3314","0","","","","","","","","","",""
"Adipose_vis ENSR00000012623","Adipose_vis","ENSR00000012623","0.3086","0","","","","","","","","","",""
"Adipose_vis ENSR00000012792","Adipose_vis","ENSR00000012792","0.3138","0","","","","","","","","","",""
"Adipose_vis ENSR00000013830","Adipose_vis","ENSR00000013830","-0.3099","0","","","","","","","","","",""
"Adipose_vis ENSR00000014072","Adipose_vis","ENSR00000014072","0.3056","0","","","","","","","","","",""
"Adipose_vis ENSR00000014432","Adipose_vis","ENSR00000014432","-0.3773","0","","","","","","","","","",""
"Adipose_vis ENSR00000018066","Adipose_vis","ENSR00000018066","0.3024","0","","","","","","","","","",""
"Adipose_vis ENSR00000018957","Adipose_vis","ENSR00000018957","0.3133","0","","","","","","","","","",""
